,Year,Quarter,LGA,Sex,Age_Gr,TB_Cases
413,2022,3,Jaba,Female,15-24,0
414,2022,4,Jaba,Male,15-24,4
415,2022,4,Jaba,Female,15-24,5
416,2022,1,Jema'a,Male,15-24,7
417,2022,1,Jema'a,Female,15-24,9
418,2022,2,Jema'a,Male,15-24,10
419,2022,2,Jema'a,Female,15-24,5
420,2022,3,Jema'a,Male,15-24,14
421,2022,3,Jema'a,Female,15-24,14
422,2022,4,Jema'a,Male,15-24,24
423,2022,4,Jema'a,Female,15-24,23
424,2022,1,Kachia,Male,15-24,3
425,2022,1,Kachia,Female,15-24,13
426,2022,2,Kachia,Male,15-24,10
427,2022,2,Kachia,Female,15-24,28
428,2022,3,Kachia,Male,15-24,21
429,2022,3,Kachia,Female,15-24,58
430,2022,4,Kachia,Male,15-24,4
431,2022,4,Kachia,Female,15-24,29
432,2022,1,Kaduna North,Male,15-24,51
433,2022,1,Kaduna North,Female,15-24,34
434,2022,2,Kaduna North,Male,15-24,42
435,2022,2,Kaduna North,Female,15-24,45
436,2022,3,Kaduna North,Male,15-24,45
437,2022,3,Kaduna North,Female,15-24,33
438,2022,4,Kaduna North,Male,15-24,70
439,2022,4,Kaduna North,Female,15-24,51
440,2022,1,Kaduna South,Male,15-24,34
441,2022,1,Kaduna South,Female,15-24,32
442,2022,2,Kaduna South,Male,15-24,28
443,2022,2,Kaduna South,Female,15-24,36
444,2022,3,Kaduna South,Male,15-24,45
445,2022,3,Kaduna South,Female,15-24,46
446,2022,4,Kaduna South,Male,15-24,56
447,2022,4,Kaduna South,Female,15-24,47
448,2022,1,Kagarko,Male,15-24,0
449,2022,1,Kagarko,Female,15-24,4
450,2022,2,Kagarko,Male,15-24,1
451,2022,2,Kagarko,Female,15-24,3
452,2022,3,Kagarko,Male,15-24,2
453,2022,3,Kagarko,Female,15-24,2
454,2022,4,Kagarko,Male,15-24,6
455,2022,4,Kagarko,Female,15-24,7
456,2022,1,Kajuru,Male,15-24,0
457,2022,1,Kajuru,Female,15-24,2
458,2022,2,Kajuru,Male,15-24,16
459,2022,2,Kajuru,Female,15-24,9
460,2022,3,Kajuru,Male,15-24,11
461,2022,3,Kajuru,Female,15-24,4
462,2022,4,Kajuru,Male,15-24,15
463,2022,4,Kajuru,Female,15-24,7
464,2022,1,Kaura,Male,15-24,2
465,2022,1,Kaura,Female,15-24,0
466,2022,2,Kaura,Male,15-24,2
467,2022,2,Kaura,Female,15-24,0
468,2022,3,Kaura,Male,15-24,3
469,2022,3,Kaura,Female,15-24,1
470,2022,4,Kaura,Male,15-24,5
471,2022,4,Kaura,Female,15-24,4
472,2022,1,Kauru,Male,15-24,93
473,2022,1,Kauru,Female,15-24,15
474,2022,2,Kauru,Male,15-24,90
475,2022,2,Kauru,Female,15-24,25
476,2022,3,Kauru,Male,15-24,59
477,2022,3,Kauru,Female,15-24,33
478,2022,4,Kauru,Male,15-24,53
479,2022,4,Kauru,Female,15-24,20
480,2022,1,Kubau,Male,15-24,4
481,2022,1,Kubau,Female,15-24,1
482,2022,2,Kubau,Male,15-24,4
483,2022,2,Kubau,Female,15-24,2
484,2022,3,Kubau,Male,15-24,3
485,2022,3,Kubau,Female,15-24,4
486,2022,4,Kubau,Male,15-24,13
487,2022,4,Kubau,Female,15-24,8
488,2022,1,Kudan,Male,15-24,2
489,2022,1,Kudan,Female,15-24,2
490,2022,2,Kudan,Male,15-24,2
491,2022,2,Kudan,Female,15-24,2
492,2022,3,Kudan,Male,15-24,4
493,2022,3,Kudan,Female,15-24,5
494,2022,4,Kudan,Male,15-24,5
495,2022,4,Kudan,Female,15-24,5
496,2022,1,Lere,Male,15-24,2
497,2022,1,Lere,Female,15-24,4
498,2022,2,Lere,Male,15-24,2
499,2022,2,Lere,Female,15-24,4
500,2022,3,Lere,Male,15-24,6
501,2022,3,Lere,Female,15-24,0
502,2022,4,Lere,Male,15-24,2
503,2022,4,Lere,Female,15-24,8
504,2022,1,Makarfi,Male,15-24,4
505,2022,1,Makarfi,Female,15-24,2
506,2022,2,Makarfi,Male,15-24,5
507,2022,2,Makarfi,Female,15-24,2
508,2022,3,Makarfi,Male,15-24,6
509,2022,3,Makarfi,Female,15-24,6
510,2022,4,Makarfi,Male,15-24,11
511,2022,4,Makarfi,Female,15-24,8
512,2022,1,Sabon – Gari,Male,15-24,17
513,2022,1,Sabon – Gari,Female,15-24,16
514,2022,2,Sabon – Gari,Male,15-24,20
515,2022,2,Sabon – Gari,Female,15-24,17
516,2022,3,Sabon – Gari,Male,15-24,33
517,2022,3,Sabon – Gari,Female,15-24,39
518,2022,4,Sabon – Gari,Male,15-24,58
519,2022,4,Sabon – Gari,Female,15-24,36
520,2022,1,Sanga,Male,15-24,2
521,2022,1,Sanga,Female,15-24,1
522,2022,2,Sanga,Male,15-24,5
523,2022,2,Sanga,Female,15-24,2
524,2022,3,Sanga,Male,15-24,1
525,2022,3,Sanga,Female,15-24,1
526,2022,4,Sanga,Male,15-24,2
527,2022,4,Sanga,Female,15-24,1
528,2022,1,Soba,Male,15-24,0
529,2022,1,Soba,Female,15-24,1
530,2022,2,Soba,Male,15-24,1
531,2022,2,Soba,Female,15-24,0
532,2022,3,Soba,Male,15-24,3
533,2022,3,Soba,Female,15-24,8
534,2022,4,Soba,Male,15-24,8
535,2022,4,Soba,Female,15-24,12
536,2022,1,Zangon – Kataf,Male,15-24,1
537,2022,1,Zangon – Kataf,Female,15-24,0
538,2022,2,Zangon – Kataf,Male,15-24,1
539,2022,2,Zangon – Kataf,Female,15-24,0
540,2022,3,Zangon – Kataf,Male,15-24,3
541,2022,3,Zangon – Kataf,Female,15-24,1
542,2022,4,Zangon – Kataf,Male,15-24,4
543,2022,4,Zangon – Kataf,Female,15-24,6
544,2022,1,Zaria,Male,15-24,47
